quadrimestre,turma,turno,campus,matriz,docente_id,periodo_ideal,n_A,n_B,n_C,n_D,n_F,n_O,n_incompleto,n_sem_conceito,n_avaliados,n_aprovados,n_reprovados,taxa_reprov
2011.1,,diurno,SA,pre-2015,,1,10,7,3,5,3,2,0,0,30,25,5,0.16666666666666666
2011.1,,diurno,SA,pre-2015,,1,10,8,8,0,1,0,0,0,27,26,1,0.037037037037037035
2011.1,,diurno,SA,pre-2015,,1,7,14,7,1,0,0,0,0,29,29,0,0.0
2011.1,,diurno,SA,pre-2015,,1,1,4,5,0,16,0,0,0,26,10,16,0.6153846153846154
2011.1,,diurno,SA,pre-2015,,1,3,5,4,2,12,0,0,0,26,14,12,0.46153846153846156
2011.1,,diurno,SA,pre-2015,,1,7,7,8,1,2,0,0,0,25,23,2,0.08
2011.1,,diurno,SA,pre-2015,,1,7,10,5,3,0,0,0,0,25,25,0,0.0
2011.1,,diurno,SA,pre-2015,,1,4,7,9,0,3,1,0,0,24,20,4,0.16666666666666666
2011.1,,diurno,SA,pre-2015,,1,6,7,4,7,1,2,0,0,27,24,3,0.1111111111111111
2011.1,,diurno,SA,pre-2015,,1,17,6,4,1,0,0,0,0,28,28,0,0.0
2011.1,,noturno,SA,pre-2015,,1,4,4,8,1,12,0,0,0,29,17,12,0.41379310344827586
2011.1,,noturno,SA,pre-2015,,1,0,5,10,0,7,2,0,0,24,15,9,0.375
2011.1,,noturno,SBC,pre-2015,,1,5,6,0,0,4,2,0,0,17,11,6,0.35294117647058826
2011.1,,noturno,SA,pre-2015,,1,1,3,3,2,14,0,0,0,23,9,14,0.6086956521739131
2011.1,,noturno,SA,pre-2015,,1,2,3,2,0,18,0,0,0,25,7,18,0.72
2011.1,,noturno,SBC,pre-2015,,1,8,5,2,0,0,0,0,0,15,15,0,0.0
2011.1,,noturno,SA,pre-2015,,1,4,7,9,1,5,2,0,0,28,21,7,0.25
2011.1,,noturno,SBC,pre-2015,,1,8,5,6,0,4,4,0,0,27,19,8,0.2962962962962963
2011.1,,noturno,SA,pre-2015,,1,3,5,10,2,4,3,0,0,27,20,7,0.25925925925925924
2011.1,,noturno,SA,pre-2015,,1,9,11,4,0,4,0,0,0,28,24,4,0.14285714285714285
2011.1,,noturno,SA,pre-2015,,1,8,4,8,4,4,0,0,0,28,24,4,0.14285714285714285
2011.1,,noturno,SA,pre-2015,,1,5,8,3,2,8,0,0,0,26,18,8,0.3076923076923077
2011.1,,noturno,SA,pre-2015,,1,6,6,7,2,2,1,0,0,24,21,3,0.125
2011.1,,noturno,SA,pre-2015,,1,4,7,10,0,1,4,0,0,26,21,5,0.19230769230769232
2011.1,,noturno,SA,pre-2015,,1,0,5,7,6,2,3,0,0,23,18,5,0.21739130434782608
2011.1,,noturno,SA,pre-2015,,1,5,5,3,1,9,0,3,0,23,14,9,0.391304347826087
2011.1,,noturno,SA,pre-2015,,1,1,11,8,0,3,0,0,0,23,20,3,0.13043478260869565
2011.1,,noturno,SA,pre-2015,,1,4,2,2,0,15,0,0,0,23,8,15,0.6521739130434783
2011.1,,noturno,SA,pre-2015,,1,1,1,1,0,21,0,0,0,24,3,21,0.875
2011.1,,noturno,SA,pre-2015,,1,1,14,9,0,0,3,0,0,27,24,3,0.1111111111111111
2011.1,,noturno,SA,pre-2015,,1,2,14,5,0,0,4,0,0,25,21,4,0.16
2011.1,,noturno,SA,pre-2015,,1,2,6,6,0,4,7,0,0,25,14,11,0.44
2011.1,,noturno,SA,pre-2015,,1,2,5,6,3,2,6,0,0,24,16,8,0.3333333333333333
2011.3,,diurno,SA,pre-2015,,0,1,6,4,4,6,6,0,0,27,15,12,0.4444444444444444
2011.3,,diurno,SA,pre-2015,,0,3,13,3,0,5,3,0,0,27,19,8,0.2962962962962963
2011.3,,diurno,SA,pre-2015,,0,4,11,4,0,0,0,9,0,19,19,0,0.0
2011.3,,diurno,SA,pre-2015,,0,2,6,5,5,5,6,0,0,29,18,11,0.3793103448275862
2011.3,,diurno,SA,pre-2015,,0,1,10,7,0,8,0,0,0,26,18,8,0.3076923076923077
2011.3,,diurno,SA,pre-2015,,0,5,5,7,2,4,2,0,0,25,19,6,0.24
2011.3,,diurno,SA,pre-2015,,0,2,6,4,1,9,0,0,0,22,13,9,0.4090909090909091
2011.3,,noturno,SA,pre-2015,,0,3,3,6,1,8,0,2,0,21,13,8,0.38095238095238093
