grupo,item,n,media,mediana,ic95_med_low,ic95_med_high,shapiro_p,wilcoxon_stat,p_raw,r_rank_biserial,p_holm,signif_holm,efeito
Exp2+3 (A+B),Q01,74,3.554,4.0,3.0,4.0,6.599822035130986e-06,1102.5,0.00020382903865148456,0.541,0.0016306323092118765,True,grande
Exp2+3 (A+B),Q02,74,3.676,4.0,3.0,4.0,2.1403383484394736e-06,1215.0,1.344506370871953e-05,0.636,0.00012100557337847576,True,grande
Exp2+3 (A+B),Q03,74,3.986,4.5,4.0,5.0,6.256439160814628e-09,1678.5,2.0652841973651027e-08,0.775,2.6848694565746335e-07,True,grande
Exp2+3 (A+B),Q04,74,3.703,4.0,3.5,4.0,4.165284178101966e-06,1386.0,2.0751464715494135e-06,0.677,2.0751464715494136e-05,True,grande
Exp2+3 (A+B),Q05,74,4.095,4.0,4.0,4.5,7.21749147798925e-08,1766.0,5.05278376628254e-11,0.93,9.095010779308572e-10,True,grande
Exp2+3 (A+B),Q06,74,4.405,5.0,4.0,5.0,2.010834548391878e-10,2122.0,4.307856259459814e-13,0.979,8.615712518919629e-12,True,grande
Exp2+3 (A+B),Q07,74,3.878,4.0,4.0,4.0,6.890488906827652e-07,1534.0,2.806077309496084e-08,0.793,3.367292771395301e-07,True,grande
Exp2+3 (A+B),Q08,74,3.946,4.0,4.0,4.0,2.602387740454946e-07,1595.5,1.6276429360502265e-09,0.865,2.6042286976803624e-08,True,grande
Exp2+3 (A+B),Q09,74,3.0,3.0,3.0,3.0,2.280894174968665e-05,426.5,0.5213796292642285,-0.009,1.0,False,desprezível
Exp2+3 (A+B),Q10,74,4.162,4.0,4.0,5.0,1.05405594114218e-08,1912.0,8.060859563670203e-11,0.897,1.3703461258239345e-09,True,grande
Exp2+3 (A+B),Q11,74,3.473,4.0,3.0,4.0,1.3543783654685926e-05,1047.0,0.0012202543446560043,0.463,0.00854178041259203,True,médio
Exp2+3 (A+B),Q12,74,3.892,4.0,4.0,4.0,6.694695380427249e-07,1652.0,9.515123100983088e-09,0.805,1.3321172341376322e-07,True,grande
Exp2+3 (A+B),Q13,74,2.986,3.0,3.0,3.0,9.997667729294771e-05,596.0,0.5676919606562049,-0.027,1.0,False,desprezível
Exp2+3 (A+B),Q14,74,4.108,4.0,4.0,4.0,7.85628181946416e-08,1680.0,2.2310189403520892e-11,0.964,4.2389359866689694e-10,True,grande
Exp2+3 (A+B),Q15,74,3.878,4.0,4.0,5.0,5.7067454602424744e-08,1368.0,6.92876007479182e-07,0.714,7.621636082271002e-06,True,grande
Exp2+3 (A+B),Q16,74,3.162,3.0,3.0,3.0,1.8147829491387156e-05,632.5,0.14983857960279828,0.17,0.5993543184111931,False,pequeno
Exp2+3 (A+B),Q17,74,3.405,4.0,3.0,4.0,1.0019929129641074e-05,1093.0,0.006491850760502402,0.37,0.03245925380251201,True,médio
Exp2+3 (A+B),Q18,74,4.149,5.0,4.0,5.0,2.511637918352133e-10,1640.0,8.17857561259259e-09,0.792,1.2267863418888883e-07,True,grande
Exp2+3 (A+B),Q19,74,3.554,4.0,3.0,4.0,1.0745189996389564e-07,1161.0,0.0027814878317422077,0.405,0.016688926990453247,True,médio
Exp2+3 (A+B),Q20,74,1.405,1.0,1.0,1.0,1.9698748980522414e-14,47.5,0.9999999999999784,-0.958,1.0,False,grande
