term,class_label,shift,campus,curriculum,on_schedule_term,instructor_prior,n_A,n_B,n_C,n_D,n_F,n_O,n_I,n_no_grade,n_assessed,n_passed,n_failed
2015.2,,day,1,pre-2015,0,False,1,3,6,2,7,0,0,0,19,12,7
2015.2,,day,1,pre-2015,0,False,1,3,3,6,8,0,0,0,21,13,8
2015.2,,day,1,pre-2015,0,False,0,3,8,3,8,0,0,0,22,14,8
2015.2,,day,1,pre-2015,0,False,0,1,7,2,11,0,0,0,21,10,11
2015.2,,evening,1,pre-2015,0,False,5,4,6,3,4,3,0,0,25,18,7
2015.2,,evening,2,pre-2015,0,False,2,5,16,3,9,0,0,0,35,26,9
2015.2,,evening,1,pre-2015,0,False,7,8,5,2,3,2,0,0,27,22,5
2015.2,,evening,2,pre-2015,0,False,5,9,12,4,6,0,0,0,36,30,6
2015.2,,evening,1,pre-2015,0,False,4,2,2,2,4,8,0,0,22,10,12
2015.3,,day,1,pre-2015,0,False,0,2,3,5,14,0,0,0,24,10,14
2015.3,,day,1,pre-2015,0,False,1,4,5,4,11,0,0,0,25,14,11
2015.3,,day,1,pre-2015,0,False,1,5,3,2,12,0,0,0,23,11,12
2015.3,,day,1,pre-2015,0,False,0,4,3,5,11,0,0,0,23,12,11
2015.3,,day,1,pre-2015,0,False,0,6,6,5,7,0,0,0,24,17,7
2015.3,,day,1,pre-2015,0,False,1,1,11,3,9,0,0,0,25,16,9
2016.1,,day,1,2015,1,False,6,5,5,3,6,3,0,0,28,19,9
2016.1,,day,2,2015,1,False,19,10,1,0,2,6,0,0,38,30,8
2016.1,,day,1,2015,1,False,3,5,6,5,5,1,0,0,25,19,6
2016.1,,day,2,2015,1,False,14,9,3,0,6,2,0,0,34,26,8
2016.1,,day,1,2015,1,False,7,8,6,1,3,4,0,0,29,22,7
2016.1,,day,1,2015,1,False,19,8,0,2,0,0,0,0,29,29,0
2016.1,,day,1,2015,1,False,17,6,4,0,1,2,0,0,30,27,3
2016.1,,day,1,2015,1,False,5,11,3,0,3,0,0,0,22,19,3
2016.1,,day,2,2015,1,False,19,13,3,0,3,2,0,0,40,35,5
2016.1,,day,1,2015,1,False,2,5,6,1,8,1,0,0,23,14,9
2016.1,,day,2,2015,1,False,5,6,2,0,2,1,0,0,16,13,3
2016.1,,day,1,2015,1,False,1,9,7,0,7,2,0,0,26,17,9
2016.1,,day,1,2015,1,False,14,9,4,0,0,0,0,0,27,27,0
